"Time","Line","tsNs","id","TraceID","_trace_id","compose_project","compose_service","container_name","filename","host","latitude","level","longitude","resource_service_name","service_name","source","span_id"
1727087278441,"2024-09-23 10:27:58,441 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278441631657,1727087278441631657_4e47761,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278419,"2024-09-23 10:27:58,419 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278419414573,1727087278419414573_ce715595,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278403,"2024-09-23 10:27:58,403 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278403856379,1727087278403856379_edc21d9f,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278388,"2024-09-23 10:27:58,388 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278388394611,1727087278388394611_7d2ce71b,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278373,"2024-09-23 10:27:58,373 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278373208483,1727087278373208483_80a82fe9,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278358,"2024-09-23 10:27:58,358 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/forget_password', 'status': 200, 'size': '38', 'user_agent': 'python-httpx/0.27.0'}",1727087278358611262,1727087278358611262_fcffd7da,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278344,"2024-09-23 10:27:58,343 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278344058615,1727087278344058615_d662f70b,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278329,"2024-09-23 10:27:58,329 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278329596581,1727087278329596581_280c9daf,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278314,"2024-09-23 10:27:58,314 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/forget_password', 'status': 200, 'size': '38', 'user_agent': 'python-httpx/0.27.0'}",1727087278314742159,1727087278314742159_3db061ca,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278300,"2024-09-23 10:27:58,300 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278300322345,1727087278300322345_71cb46b4,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278284,"2024-09-23 10:27:58,284 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278284634644,1727087278284634644_70383f25,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
